[2025-07-10 22:35:26] [INFO    ] discord.client: logging in using static token
[2025-07-10 22:35:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'password_strore_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1391319711161122857', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8201', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'bfe154d1cc819244d43d9b84e678b796', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1391322093496565841'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'india', 'hongkong', 'dubai', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1391319711161122857', 'flags': 8945664}, '_trace': ['["gateway-prd-us-east1-c-5nrl",{"micros":85109,"calls":["id_created",{"micros":1201,"calls":[]},"session_lookup_time",{"micros":392,"calls":[]},"session_lookup_finished",{"micros":16,"calls":[]},"discord-sessions-prd-2-131",{"micros":82695,"calls":["start_session",{"micros":75488,"calls":["discord-api-rpc-5758b8d864-68pjb",{"micros":45095,"calls":["get_user",{"micros":6123},"get_guilds",{"micros":4177},"send_scheduled_deletion_message",{"micros":18},"guild_join_requests",{"micros":8},"authorized_ip_coro",{"micros":15},"pending_payments",{"micros":5497},"apex_experiments",{"micros":6080},"user_activities",{"micros":6},"played_application_ids",{"micros":4}]}]},"starting_guild_connect",{"micros":24,"calls":[]},"presence_started",{"micros":937,"calls":[]},"guilds_started",{"micros":58,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":6148,"calls":[]},"connect_finished",{"micros":6152,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":21,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-10 22:35:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 22:35:28] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: bfe154d1cc819244d43d9b84e678b796).
[2025-07-10 22:35:28] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-10 22:35:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'safety_alerts_channel_id': None, 'application_command_counts': {}, 'features': [], 'members': [{'user': {'username': 'password_strore_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1391319711161122857', 'global_name': None, 'display_name': None, 'discriminator': '8201', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1391322315144429689'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-06T07:38:09.517000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_features': None, 'lazy': True, 'joined_at': '2025-07-06T07:38:09.517000+00:00', 'profile': None, 'stickers': [], 'application_id': None, 'discovery_splash': None, 'rules_channel_id': None, 'inventory_settings': None, 'id': '1391322093496565841', 'name': "Krishna's server", 'preferred_locale': 'en-US', 'max_video_channel_users': 25, 'threads': [], 'mfa_level': 0, 'large': False, 'max_stage_video_channel_users': 50, 'channels': [{'version': 1751787436673, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1391322093496565842', 'flags': 0}, {'version': 1751787436676, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1391322093496565843', 'flags': 0}, {'version': 1751787436691, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1391322093496565842', 'name': 'general', 'last_message_id': '1392542441558638683', 'id': '1391322093496565844', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1751787436702, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1391322093496565843', 'name': 'General', 'last_message_id': None, 'id': '1391322093496565845', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'description': None, 'owner_id': '1261307442973638761', 'owner_configured_content_level': 0, 'icon': None, 'presences': [], 'nsfw': False, 'voice_states': [], 'member_count': 2, 'premium_progress_bar_enabled': False, 'premium_tier': 0, 'region': 'deprecated', 'stage_instances': [], 'system_channel_flags': 0, 'explicit_content_filter': 0, 'home_header': None, 'nsfw_level': 0, 'unavailable': False, 'splash': None, 'moderator_reporting': None, 'default_message_notifications': 0, 'embedded_activities': [], 'premium_subscription_count': 0, 'afk_timeout': 300, 'afk_channel_id': None, 'max_members': 2500000, 'latest_onboarding_question_id': None, 'hub_type': None, 'system_channel_id': '1391322093496565844', 'verification_level': 0, 'public_updates_channel_id': None, 'soundboard_sounds': [], 'banner': None, 'incidents_data': None, 'version': 1751787436711, 'vanity_url_code': None, 'roles': [{'version': 1751787436670, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1391322093496565841', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1751787489460, 'unicode_emoji': None, 'tags': {'bot_id': '1391319711161122857'}, 'position': 1, 'permissions': '563276639759424', 'name': 'password_strore_bot', 'mentionable': False, 'managed': True, 'id': '1391322315144429689', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'guild_scheduled_events': [], 'emojis': [], 'activity_instances': []}}
[2025-07-10 22:35:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 22:35:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'd815869ce70b1cdbac5736a5059ea856', 'members': [{'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'display_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-06T07:37:16.622000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'password_strore_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1391319711161122857', 'global_name': None, 'display_name': None, 'discriminator': '8201', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1391322315144429689'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-06T07:38:09.517000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1391322093496565841', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-10 22:35:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 22:35:28] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1391322093496565841.
[2025-07-10 22:35:30] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-10 22:35:30] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-10 22:35:31] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1391319711161122857/commands with [{"name":"start","description":"Initialize and set master password or store new password","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"get","description":"Retrieve a password (requires master password)","type":1,"options":[{"type":3,"name":"service","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"update","description":"Update a password (requires master password)","type":1,"options":[{"type":3,"name":"service","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"delete","description":"Delete a password (requires master password)","type":1,"options":[{"type":3,"name":"service","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"export","description":"Export all passwords (requires master password)","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-07-10 22:35:31] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-07-10 22:35:31] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1391319711161122857/commands has received [{'id': '1392908056366682373', 'application_id': '1391319711161122857', 'version': '1392912416450416670', 'default_member_permissions': None, 'type': 1, 'name': 'start', 'name_localizations': None, 'description': 'Initialize and set master password or store new password', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1392908056366682374', 'application_id': '1391319711161122857', 'version': '1392912416450416671', 'default_member_permissions': None, 'type': 1, 'name': 'get', 'name_localizations': None, 'description': 'Retrieve a password (requires master password)', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'service', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1392908056366682375', 'application_id': '1391319711161122857', 'version': '1392912416450416672', 'default_member_permissions': None, 'type': 1, 'name': 'update', 'name_localizations': None, 'description': 'Update a password (requires master password)', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'service', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1392908056815337472', 'application_id': '1391319711161122857', 'version': '1392912416450416673', 'default_member_permissions': None, 'type': 1, 'name': 'delete', 'name_localizations': None, 'description': 'Delete a password (requires master password)', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'service', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1392908056815337473', 'application_id': '1391319711161122857', 'version': '1392912416450416674', 'default_member_permissions': None, 'type': 1, 'name': 'export', 'name_localizations': None, 'description': 'Export all passwords (requires master password)', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}]
[2025-07-10 22:35:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 4, 'op': 0, 'd': {'version': 1, 'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTM5MjkxNDcyMzA5OTM4MTg3MTpCUDhJRENaZlVNeUR2SWlLOFg4anZpb1R1MGJ0ZzlMejdJTmc5V1V6OVRuZWZjaVZmUjJMTjZUTm1mTnVnU2lBRTNLcnBrYXluN25nMkhPVmdUa3NKdEViN2V4Z3hMemU3ZGpvb25mZ1RUNnYxYk9Uak9Zd2tyaFBKNDI5NTFjaA', 'locale': 'en-US', 'id': '1392914723099381871', 'entitlements': [], 'data': {'type': 1, 'name': 'start', 'id': '1392908056366682373'}, 'context': 1, 'channel_id': '1391338626243231896', 'channel': {'type': 1, 'recipients': [{'username': 'password_strore_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1391319711161122857', 'global_name': None, 'discriminator': '8201', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}], 'recipient_flags': 0, 'last_message_id': '1392913120938295321', 'id': '1391338626243231896', 'flags': 0}, 'authorizing_integration_owners': {'1': '1261307442973638761', '0': '0'}, 'attachment_size_limit': 10485760, 'application_id': '1391319711161122857', 'app_permissions': '562949953863680'}}
[2025-07-10 22:35:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 22:35:49] [DEBUG   ] discord.client: Dispatching event interaction
[2025-07-10 22:35:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'webhook_id': '1391319711161122857', 'type': 20, 'tts': False, 'timestamp': '2025-07-10T17:05:49.615000+00:00', 'position': 0, 'pinned': False, 'nonce': '1392914721618788352', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'interaction_metadata': {'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'type': 2, 'name': 'start', 'id': '1392914723099381871', 'command_type': 1, 'authorizing_integration_owners': {'1': '1261307442973638761', '0': '0'}}, 'interaction': {'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'type': 2, 'name': 'start', 'id': '1392914723099381871'}, 'id': '1392914725297328214', 'flags': 64, 'embeds': [], 'edited_timestamp': None, 'content': '👋 Hi krishnab0_11107! Click below to store a new password securely:', 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'style': 1, 'label': 'Store New Password', 'id': 2, 'custom_id': '6f6c4ee130527455cbef3fb39909bb2b'}]}], 'channel_type': 1, 'channel_id': '1391338626243231896', 'author': {'username': 'password_strore_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1391319711161122857', 'global_name': None, 'discriminator': '8201', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'application_id': '1391319711161122857'}}
[2025-07-10 22:35:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 22:35:49] [DEBUG   ] discord.client: Dispatching event message
[2025-07-10 22:35:49] [DEBUG   ] discord.webhook.async_: Webhook ID 1392914723099381871 with POST https://discord.com/api/v10/interactions/1392914723099381871/aW50ZXJhY3Rpb246MTM5MjkxNDcyMzA5OTM4MTg3MTpCUDhJRENaZlVNeUR2SWlLOFg4anZpb1R1MGJ0ZzlMejdJTmc5V1V6OVRuZWZjaVZmUjJMTjZUTm1mTnVnU2lBRTNLcnBrYXluN25nMkhPVmdUa3NKdEViN2V4Z3hMemU3ZGpvb25mZ1RUNnYxYk9Uak9Zd2tyaFBKNDI5NTFjaA/callback has returned status code 200
[2025-07-10 22:35:49] [DEBUG   ] discord.client: Dispatching event app_command_completion
[2025-07-10 22:35:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 6, 'op': 0, 'd': {'version': 1, 'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'type': 3, 'token': 'aW50ZXJhY3Rpb246MTM5MjkxNDczNTA3NDI1MDg4NjpZOTloZEloRzJoRFp0bENGcGQxU0lqZzdTWDlPeTlPNVIzZkpyWG41SWw4Smhka1gxYml2WHBRV0dlTHI1d0hodVUxdGZINjZPbG5CdWh6SjhrSWZwVUZwNzhKZFZoRFlpaWM4eHRZcUxuWERZQ0hqWlFkOHhTUThEODdyNkhYbw', 'message': {'webhook_id': '1391319711161122857', 'type': 20, 'tts': False, 'timestamp': '2025-07-10T17:05:49.615000+00:00', 'position': 0, 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'interaction_metadata': {'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'type': 2, 'name': 'start', 'id': '1392914723099381871', 'command_type': 1, 'authorizing_integration_owners': {'1': '1261307442973638761', '0': '0'}}, 'interaction': {'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'type': 2, 'name': 'start', 'id': '1392914723099381871'}, 'id': '1392914725297328214', 'flags': 64, 'embeds': [], 'edited_timestamp': None, 'content': '👋 Hi krishnab0_11107! Click below to store a new password securely:', 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'style': 1, 'label': 'Store New Password', 'id': 2, 'custom_id': '6f6c4ee130527455cbef3fb39909bb2b'}]}], 'channel_id': '1391338626243231896', 'author': {'username': 'password_strore_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1391319711161122857', 'global_name': None, 'discriminator': '8201', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'application_id': '1391319711161122857'}, 'locale': 'en-US', 'id': '1392914735074250886', 'entitlements': [], 'data': {'id': 2, 'custom_id': '6f6c4ee130527455cbef3fb39909bb2b', 'component_type': 2}, 'context': 1, 'channel_id': '1391338626243231896', 'channel': {'type': 1, 'recipients': [{'username': 'password_strore_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1391319711161122857', 'global_name': None, 'discriminator': '8201', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}], 'recipient_flags': 0, 'last_message_id': '1392913120938295321', 'id': '1391338626243231896', 'flags': 0}, 'authorizing_integration_owners': {'1': '1261307442973638761', '0': '0'}, 'attachment_size_limit': 10485760, 'application_id': '1391319711161122857', 'app_permissions': '562949953863680'}}
[2025-07-10 22:35:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 22:35:52] [DEBUG   ] discord.client: Dispatching event interaction
[2025-07-10 22:35:52] [DEBUG   ] discord.webhook.async_: Webhook ID 1392914735074250886 with POST https://discord.com/api/v10/interactions/1392914735074250886/aW50ZXJhY3Rpb246MTM5MjkxNDczNTA3NDI1MDg4NjpZOTloZEloRzJoRFp0bENGcGQxU0lqZzdTWDlPeTlPNVIzZkpyWG41SWw4Smhka1gxYml2WHBRV0dlTHI1d0hodVUxdGZINjZPbG5CdWh6SjhrSWZwVUZwNzhKZFZoRFlpaWM4eHRZcUxuWERZQ0hqWlFkOHhTUThEODdyNkhYbw/callback has returned status code 200
[2025-07-10 22:36:09] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-07-10 22:36:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-10 22:36:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 7, 'op': 0, 'd': {'version': 1, 'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'type': 5, 'token': 'aW50ZXJhY3Rpb246MTM5MjkxNDgxNDgyMDQxNzY0NzpJR1dqY1dNbDZZa1NVT1ZJN0tXTXh3SGxOWUNuaGJ3UVRnZVh5R0xHcTQxcUk0WktJNzdpWGdWQ2dadVFNVWs5dmcyQ1ByM1BhcmRJUGFGTmFIYzJSc2x1R21EM0VqMkw4RU9xYlZ6cWNNUTFkTW9TOFVlWWJhUGRhbWg0bk1KMA', 'message': {'webhook_id': '1391319711161122857', 'type': 20, 'tts': False, 'timestamp': '2025-07-10T17:05:49.615000+00:00', 'position': 0, 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'interaction_metadata': {'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'type': 2, 'name': 'start', 'id': '1392914723099381871', 'command_type': 1, 'authorizing_integration_owners': {'1': '1261307442973638761', '0': '0'}}, 'interaction': {'user': {'username': 'krishnab0_11107', 'public_flags': 0, 'primary_guild': None, 'id': '1261307442973638761', 'global_name': 'Krishna', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '97aaa02a200f47c3b07bd43c7b22f2e2'}, 'type': 2, 'name': 'start', 'id': '1392914723099381871'}, 'id': '1392914725297328214', 'flags': 64, 'embeds': [], 'edited_timestamp': None, 'content': '👋 Hi krishnab0_11107! Click below to store a new password securely:', 'components': [{'type': 1, 'id': 1, 'components': [{'type': 2, 'style': 1, 'label': 'Store New Password', 'id': 2, 'custom_id': '6f6c4ee130527455cbef3fb39909bb2b'}]}], 'channel_id': '1391338626243231896', 'author': {'username': 'password_strore_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1391319711161122857', 'global_name': None, 'discriminator': '8201', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'application_id': '1391319711161122857'}, 'locale': 'en-US', 'id': '1392914814820417647', 'entitlements': [], 'data': {'custom_id': '099dfcd67c8cc76e8b4efaa9056eae61', 'components': [{'type': 1, 'id': 1, 'components': [{'value': 'discord', 'type': 4, 'id': 2, 'custom_id': '781910807aea26c26da1a95508e36056'}]}, {'type': 1, 'id': 3, 'components': [{'value': 'dvd', 'type': 4, 'id': 4, 'custom_id': '08bf068eda2e09d47a8023d3cddce255'}]}]}, 'context': 1, 'channel_id': '1391338626243231896', 'channel': {'type': 1, 'recipients': [{'username': 'password_strore_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1391319711161122857', 'global_name': None, 'discriminator': '8201', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}], 'recipient_flags': 0, 'last_message_id': '1392913120938295321', 'id': '1391338626243231896', 'flags': 0}, 'authorizing_integration_owners': {'1': '1261307442973638761', '0': '0'}, 'attachment_size_limit': 10485760, 'application_id': '1391319711161122857', 'app_permissions': '562949953863680'}}
[2025-07-10 22:36:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 22:36:11] [DEBUG   ] discord.client: Dispatching event interaction
